Column1,Chinese,English
910,XO酱银杏果百合炒虾仁,Sautéed Shrimp with Lily Bulbs and Gingko in XO Sauce
911,澳洲龙虾（刺身，上汤焗，椒盐）,"Australian Lobster(Sashimi, in Chicken Consommé, Fried with Spiced Salt)"
912,豉椒焗龙虾,Braised Lobster with Peppers and Black Bean Sauce
913,串串辣子虾,Shrimp Kebab with Hot Pepper Sauce
914,翡翠虾仁,Sautéed Shrimp with Broccoli
915,干火焅大虾,Fried Prawns with Sweet Sauce
916,干烧大虾,Dry-Braised Prawn with Ham and Asparagus
917,宫保凤尾虾,Kung Pao Phoenix Tail Prawns
918,宫保虾仁,Kung Pao Shrimp
919,茄汁虾仁,Sautéed Shrimp with Tomato Sauce
920,咕噜明虾球,Sweet and Sour Shrimp Balls
921,果仁生汁脆皮虾球,Fried Prawns with Peanuts in Special Sauce
922,海鲜汁扒大虾,Grilled Prawns with Seafood Sauce
923,煎烹虾仁,Fried and Simmered Shrimp
924,姜葱炒龙虾,Sautéed Lobster with Ginger and Scallion
925,椒盐大虾球,Deep-Fried Prawn with Spiced Salt
926,椒盐头爪,Deep-Fried Lobster Heads and Claws with Spiced Salt
927,芥末虾球,Deep-Fried Prawn Topped with Mustard
928,金沙玉米虾,Fried Shrimps with Corn and Salted Egg Yolk
929,金丝虾球,Braised Shrimp Balls
930,金银蒜蒸大花虾,Steamed Prawns with Garlic
931,韭菜炒河虾,Sautéed Shrimps with Chinese Chives
932,麻婆龙虾仔,Mapo Baby Lobster（Braised in Chili Sauce）
933,蜜桃水晶丸,Deep-Fried Shrimp Balls in Peach Sauce
934,清炒水晶河虾仁,Sautéed Shelled River Shrimp
935,沙律明虾球,Shrimp Salad
936,水晶虾仁,Sautéed Shelled Shrimp
937,蒜茸蒸大虾,Steamed Prawns with Garlic
938,笋尖炒虾球,Sautéed Prawns with Bamboo Shoots
939,泰式辣椒炒虾仁,"Sautéed Shrimp with Chili, Thai Style"
940,糖醋咕噜虾球,Sweet and Sour Prawn Balls
941,鲜果沙律虾,Prawn Salad with Fresh Fruits
942,鲜豌豆炒河虾仁,Sautéed Shrimp with Fresh Beans
943,香葱白果虾,Sautéed Shrimps with Gingko and Scallion
944,香菇雪耳烩竹虾,Stewed Shrimps with Black Mushrooms and White Fungus
945,滋补砂锅大虾,King Prawns in Casserole
946,家乡小炒皇,"Sautéed Squid, Shrimps and Vegetables"
947,香辣虾,Fried Shrimps in Hot and Spicy Sauce
948,瑶柱烩裙边,Braised Turtle Rim with Scallops
949,羊肚菌爆虾球,Sautéed Shrimp Balls with Mushrooms
950,银杏百合炒虾球,Sautéed Shrimp Balls with Lily Bulbs and Ginkgo
951,银芽炒虾松,Sautéed Minced Shrimps with Bean Sprouts
952,油焖大虾,Braised Prawns
953,玉簪明虾球,Sautéed Prawns with Vegetables and Scallops
954,白灵菇韭黄炒鳕鱼球,Sautéed Codfish Balls with Mushrooms and Chives
955,煎银鳕鱼,Pan-Fried Codfish Fillet
956,葱烤银鳕鱼,Grilled Codfish with Scallion
957,冬菜银鳕鱼,Steamed Codfish with Preserved Vegetables
958,蚝黄煎银鳕鱼,Pan-Fried Codfish in Oyster Sauce
959,松菇银鳕鱼,Braised Codfish with Mushrooms
960,泰汁煎银鳕鱼,Pan-Fried Codfish in Thai Sauce
961,特汁银鳕鱼,Pan-Fried Codfish in Sour Sauce
962,白汁煎封银鳕鱼,Pan-Fried Codfish in Cream Sauce
963,香煎银鳕鱼,Pan-Fried Codfish in Soy Sauce
964,XO酱花枝片,Sautéed Sliced Cuttlefish in XO Sauce
965,白灼花枝片,Boiled Sliced Cuttlefish
966,椒盐吊片,Deep-Fried Cuttlefish with Spiced Salt
967,奇异果炒花枝,Sautéed Sliced Cuttlefish with Kiwi Fruit
968,西柠百花鲜鱿,Fried Squid with Minced Shrimps in Lemon Sauce
969,铁板酱鲜鱿,Pan-Fried Fresh Squid with Soy Sauce Served on a Sizzling Iron Plate
970,香烧鱿鱼,Braised Squid
971,雪笋花枝片,Sautéed Sliced Cuttlefish with Bamboo Shoots
972,避风塘焗鱼云,"Braised Fish Head, Fishermen’s Style"
973,菜心扒鱼圆,Braised Fish Balls with Green Vegetable
974,剁椒鱼头,Steamed Fish Head with Diced Hot Red Peppers
975,沸腾鱼,Boiled Fish with Bean Sprouts in Hot Chili Oil
976,锅仔木瓜浸鱼片,Braised Sliced Fish with Papaya
977,砂锅鱼头,Braised Fish Head in Casserole
978,深海鲽鱼头（剁椒、葱油）,Braised Flatfish Head (with Hot Red Peppers or Scallion Oil)
979,生焗鱼头,Braised Fish Head in Casserole
980,酸菜鱼,Boiled Fish with Pickled Cabbage and Chili
981,西湖醋鱼,Steamed Grass Carp in Vinegar Gravy
982,虾枣鱼丸豆腐煲,Seafood and Tofu in Casserole
983,香煎咸鱼,Pan-Fried Salted Fish
984,香烧深海鱼头,Braised Fish Head
985,香糟溜鱼片,Sautéed Sliced Fish in Rice Wine Sauce
986,腰豆西芹炒鱼松,Sautéed Minced Fish with Celery and Kidney Beans
987,野生菌烩乌鱼片,Braised Cuttlefish with Mushrooms
988,白汁炒鱼唇,Sautéed Fish Snout in Cream Sauce
989,猴头菇扒鱼唇,Braised Fish Snout with Mushrooms
990,浓汁鱼唇,Fish Snout Soup
991,糟蛋烩鱼唇,Stewed Fish Snout and Eggs Preserved in Rice Wine
992,蛋花炒鱼肚,Sautéed Fish Maw with Scrambled Egg
993,蚝汁扣鱼肚,Braised Fish Maw in Oyster Sauce
994,黄扒鱼肚,Braised Fish Maw
995,菊花乌龙烩鱼肚,Stewed Fish Maw with Chrysanthemum and Oolong Tea
996,浓汁鱼肚,Braised Fish Maw with Chicken Broth
997,青瓜肉松煮鱼肚,Boiled Fish Maw with Minced Pork
998,左口鱼（豉汁蒸，清蒸，红烧）,"Halibut (Steamed with Black Bean Sauce, Steamed or Braised in Brown Sauce)"
999,佛跳墙,Fotiaoqiang (Steamed Abalone with Shark’s Fin and Fish Maw in Broth)
1000,紫苏煎酿尖椒,Sautéed Green Pepper and Basil
1001,什烩虾,Braised Shrimps with Mixed Vegetables
1002,鱼香虾,Yu-Shiang Shrimps (Sautéed with Spicy Garlic Sauce)
1003,芥兰虾,Sautéed Shrimps with Chinese Broccoli
1004,雪豆虾,Sautéed Shrimps with Snow Peas
1005,甜酸虾,Sautéed Sweet and Sour Shrimps
1006,虾龙糊,Sautéed Shrimp Paste in Lobster Sauce
1007,湖南虾,"Shrimps, Hunan Style"
1008,子姜虾,Sautéed Shrimps with Ginger Shoots
1009,辣子虾仁,Sautéed Shrimp in Hot Pepper Sauce
1010,咖喱虾,Curry Shrimps
1011,什烩干贝,Sautéed Scallops with Assorted Vegetable
1012,鱼香干贝,Yu-Shiang Scallops (Sautéed with Spicy Garlic Sauce)
1013,辣子干贝,Sautéed Scallops in Hot Pepper Sauce
1014,虾子大乌参,Braised Jumbo Sea Cucumber with Shrimp Roe
1015,红烧乌参,Braised Sea Cucumber
1016,糖醋全鱼,Sweet and Sour Whole Fish
1017,豆瓣全鱼,Fried Whole Fish Dressed with Spicy Bean Sauce
1018,脆皮全鱼,Crispy Whole Fish
1019,清蒸石斑鱼,Steamed Sea Bass
1020,清蒸龙利,Steamed Flounder
1021,干煎龙利,Pan-Fried Flounder
1022,时菜鱼片,Stir-Fried Sliced Fish  with Seasonal Vegetable
1023,椒盐鱿鱼,Crispy Squid with Spiced Salt
1024,时菜鱿鱼,Stir-Fried Squid with Seasonal Vegetable
1025,豉椒鱿鱼,Sautéed Squid with Peppers in Black Bean Sauce
1026,宫保鱿鱼,Kung Pao Squid
1027,辣酱蒸鲜鱿,Steamed Squid in Chili Sauce
1028,豆苗大虾,Sautéed Prawns with Pea Sprouts
1029,上海油爆虾,"Sautéed Shrimps, Shanghai Style"
1030,虾仁跑蛋,Shrimp Omelet
1031,黑椒鲜贝,Sautéed Scallops in Black Pepper Sauce
1032,糖醋鱿鱼,Sweet and Sour Squid
1033,炒小卷,Sautéed Squid Rolls
1034,炒大蛤,Sautéed Fresh Clams
1035,九重鲜鲍,Sautéed Fresh Abalone with Basil
1036,煎鲳鱼,Pan-Fried Pomfret
1037,马鲛鱼,Pan-Fried Mackerel
1038,蛋黄明虾,Fried Prawns with Egg Yolk
1039,如意鳗卷,Fried Eel Rolls
1040,葱烧鱼片,Braised Sliced Fish  with Scallion
1041,姜丝鱼片,Braised Sliced Fish with Ginger
1042,殷豉鱼片,Braised Sliced Fish in Taiwan Black Bean Sauce
1043,殷豉炒蛤,Sautéed Mussels with Taiwanese Black Bean Sauce
1044,咖喱焗鲟,Baked Sturgeon in Curry Sauce
1045,菠萝虾球,Sautéed Prawn with Pineapple
1046,咸菜虾仁,Sautéed Shelled Shrimp with Preserved Vegetable
1047,豆苗虾仁,Sautéed Shelled Shrimp with Pea Sprouts
1048,殷豉炒蚵,Sautéed Oysters with Taiwan Black Bean Sauce
1049,葱烧鳗鱼,Braised Eel with Scallion
1050,三杯中卷,Squid Rolls with Three Cups Sauce
1051,酥炸蛤卷,Deep-Fried Crispy Mussel Rolls
1052,三杯鳗鱼,Eel with Three Cups Sauce
1053,酥炸蚵卷,Crispy Oyster Rolls
1054,紫菜虾卷,Seaweed Rolls Stuffed with Shrimps
1055,玉带干贝酥,Fried Scallops with Crispy Taro Strips and Vegetables
1056,蚝油鲍脯,Sautéed Sliced Abalone in Oyster Sauce
1057,凤城煎鱼脯,Fried Salted Fish Fillets
1058,川归烧酒虾,Stewed Shrimps with Liquor and Herbs
1059,米酱炒蛏肉,Sautéed Fresh Clam with Seasoning Sauce
1060,韭黄鳝片,Sautéed Sliced Eel with Chives
1061,红鲟米糕,Steamed Red Sturgeon with Glutinous Rice
1062,桂花炒干贝,Sautéed Scallops with Osmanthus Sauce
1063,豆瓣烧大黄鱼,Braised Yellow Croaker in Bean Sauce
1064,炒山瓜仔,Stir-Fried Baby Clams
1065,豆酥鳕鱼,Steamed Codfish with Savory Crispy Beans
1066,椒盐鳕鱼,Deep-Fried Codfish with Spiced Salt
1067,椒盐有头虾,Deep-Fried Shrimps with Spiced Salt
1068,殷豉炒肉蟹,Sautéed Hard-Shell Crab in Taiwan Black Bean Sauce
1069,桂花炒肉蟹,Sautéed Hard-Shell Crab with Osmanthus Sauce
1070,咖喱焗肉蟹,Baked Hard-Shell Crab with Curry Sauce
1071,豆酱炒肉蟹,Sautéed Hard-Shell Crab with Soy Bean Paste
1072,咸蛋黄炒肉蟹,Sautéed Hard-Shell Crab with Salted Egg Yolk
1073,殷豉炒珍宝蟹,Sautéed Jumbo Crab in Taiwan Black Bean Sauce
1074,桂花炒珍宝蟹,Sautéed Jumbo Crab with Osmanthus Sauce
1075,咖喱焗珍宝蟹,Baked Jumbo Crab with Curry
1076,豆酱炒珍宝蟹,Sautéed Jumbo Crab with Soy Bean Paste
1077,咸蛋黄珍宝蟹,Sautéed Jumbo Crab with Salted Egg Yolk
1078,豉汁蒸白鳝,Steamed Eel with Black Bean Sauce
1079,清蒸白鳝,Steamed Eel
1080,如意炸白鳝,Fried Eel
1081,大蒜烧白鳝,Braised Eel with Garlic
1082,川汁烧白鳝,"Stewed Eel in Gravy, Sichuan Style"
1083,白灼生中虾,Poached Prawns
1084,蒜蓉开边蒸生中虾,Steamed Prawns with Minced Garlic
1085,药味炖生中虾,Simmered Prawns with Medicinal Herbs
1086,盐酥生中虾,Baked Prawns with Salt
1087,奶油石头焗生中虾,Stone Baked Prawns with Fresh Cream
1088,咖喱串烧生中虾,Prawn Kebab with Curry Sauce
1089,鹭香焗生中虾,Baked Prawns with Mixed Flavor
1090,清蒸石斑(桂鱼、左口鱼、鲈鱼、加吉鱼、鳟鱼),"Steamed Fish (Choices of :Sea Bass, Mandarin, Flatfish, Perch, Sea Bream or Bulltrout)"
1091,油浸石斑(桂鱼、左口鱼、鲈鱼、加吉鱼、鳟鱼),"Marinated Fish in Oil (Choices of : Sea Bass,Mandarin, Flatfish, Perch, Sea Bream or Bulltrout）"
1092,醋烹石斑(桂鱼、左口鱼、鲈鱼、加吉鱼、鳟鱼),"Fried Fish with Vinegar Sauce（Choices of : Sea Bass, Mandarin, Flatfish, Perch, Sea Bream, Bulltrout）"
1093,豉汁蒸石斑(桂鱼、左口鱼、鲈鱼、加吉鱼、鳟鱼),"Steamed Fish with Black Bean Sauce (Choices of : Sea Bass,Mandarin, Flatfish, Perch, Sea Bream or Bulltrout）"
1094,红烧石斑(桂鱼、左口鱼、鲈鱼、加吉鱼、鳟鱼),"Braised Fish in Brown Sauce （Choices of: Sea Bass,Mandarin, Flatfish, Perch, Sea Bream or Bulltrout)"
1095,五柳烧石斑(桂鱼、左口鱼、鲈鱼、加吉鱼、鳟鱼),"Braised Fish with Trimmings (Choices of: Sea Bass, Mandarin, Flatfish, Perch, Sea Bream or Bulltrout）"
1096,青蒜豆油烧石斑(桂鱼、左口鱼、鲈鱼、加吉鱼、鳟鱼),"Braised Fish with Green Garlic (Choices of: Sea Bass, Mandarin, Flatfish, Perch, Sea Bream or Bulltrout)"
1097,鳟鱼刺身,Bulltrout Sashimi
1098,豉汁蒸九孔,Steamed Abalone with Black Bean Sauce
1099,蒜蓉蒸九孔,Steamed Abalone with Minced Garlic
1100,葱油九孔,Abalone in Scallion Oil
1101,香糟焗龙虾,Baked Lobster in Rice Wine Sauce
1102,奶油焗龙虾,Baked Lobster with Fresh Cream
1103,酱爆龙虾,Stir-Fried Lobster with Soy Bean Paste
1104,生蒸龙虾,Steamed Lobster
1105,三鲜海参,Braised Sea Cucumber with Three Delicacies
1106,白扒鱼肚,Braised Fish Maw in White Sauce
1107,鲍汁海鲜烩饭,Seafood and Rice in Abalone Sauce
1108,全家福,Stewed Assorted Delicacies
1109,烧山药海参,Braised Sea Cucumber with Chinese Yam
1110,烧海参裙边,Braised Sea Cucumber and Turtle Rim
1111,葱烧海参鲍鱼,Braised Sea Cucumber and Abalone with Scallion
1112,葱烧海参牛蹄筋,Braised Sea Cucumber and Beef Tendon with Scallion
1113,烧虾球海参,Stewed Sea Cucumber and Shrimp Balls
1114,烧三鲜,"Braised Sliced Abalone, Fish Maw and Chicken"
1115,醋椒活草鱼,Steamed Grass Carp with Vinegar and Pepper
1116,醋椒活桂鱼,Steamed Mandarin Fish with Vinegar and Pepper
1117,葱油活桂鱼,Steamed Mandarin Fish with Scallion Oil
1118,糟溜活桂鱼,Sautéed Mandarin Fish with Rice Wine Sauce
1119,清炒大龙虾,Sautéed Lobster
1120,椒盐基围虾,Deep-Fried Shrimps with Spiced Salt
1121,清炒虾仁,Sautéed Shelled Shrimp
1122,干烧虾仁,Sautéed Shelled Shrimp in Chili Sauce
1123,豆豉大龙虾,Sautéed Lobster with Black Bean Sauce
1124,百合虾球,Sautéed Prawn with Lily Bulbs
1125,干烧虾球,Dry-Braised Prawn
1126,炸烹虾球,Quick-Fried Prawn with Sauce
1127,豆豉虾球,Fried Prawn with Black Bean Sauce
1128,翡翠虾球,Sautéed Prawn with Vegetables
1129,炸凤尾虾,Fried Phoenix Tail Prawns
1130,扒鱼肚白菜心,Sautéed Fish Maw with Chinese Cabbage
1131,扒鱼肚油菜心,Sautéed Fish Maw with Green Vegetable
1132,蚝油小鲍,Sautéed Abalone with Oyster Sauce
1133,扒鲍鱼菜心,Sautéed Abalone with Green Vegetable
1134,扒四宝,Sautéed Four Delicacies in Sauce
1135,软炸虾仁,Soft-Fried Shrimp with Egg
1136,糟烩虾仁,Braised Shelled Shrimp with Rice Wine Sauce
1137,兰花双味虾仁,Sautéed Shelled Shrimp with Broccoli of Two Tastes
1138,清炒鲍贝,Sautéed Abalone and Scallops
1139,芙蓉三鲜,Three Delicacies with Egg White
1140,双味软炸鲜贝,Soft-Fried Scallops in Two Tastes
1141,炸烹鲜贝,Quick-Fried Scallops with Sauce
1142,清炒贝仁,Sautéed Scallops
1143,赛螃蟹,Crab-Flavored Fish
1144,芫爆鳝鱼片,Sautéed Sliced Eel with Coriander
1145,糟溜鳕鱼,Sautéed Codfish Fillets with Rice Wine Sauce
1146,咭汁鱼片,Sautéed Sliced Fish in Tomato Sauce
1147,糟溜三白,"Sautéed Three White Slices (Chicken, Fish and Bamboo Shoots) with Rice Wine Sauce"
1148,爆炒鳝鱼丝,Stir-Fried Shreded Eel
1149,山东家常焖桂鱼,"Braised Mandarin Fish in Brown Sauce, Shandong Style"
1150,葱油泼多宝鱼,Steamed Turbot with Scallion Oil
1151,葱油泼牙片鱼,Steamed Turbot with Scallion Oil
1152,干烧牙片鱼,Dry-Braised Turbot in Brown Sauce
1153,葱油泼石斑鱼,Steamed Sea Bass with Scallion Oil
1154,清蒸闸蟹,Steamed River Crab
1155,罐焖鸭丝鱼翅,Stewed Shredded Duck with Shark’s Fin in Casserole
1156,刺参扣鸭掌,Braised Duck Webs with Sea Cucumber
1157,鸭汁鲜凫乌龙,Braised Duck Meat with Sea Cucumber
1158,鸭汤醋椒鱼,Braised Mandarin Fish with Chili Pepper in Duck Bone Soup
1159,鱼香明虾球,Yu-Shiang Prawns (Sautéed with Spicy Garlic Sauce)
1160,香辣脆鳝,Deep-Fried Eel with Chili and Pepper
1161,老醋蛰头,Jellyfish with Black Vinegar
1162,王府稣鱼,Deep-Fried Fish with Soy Sauce
1163,家常臊子海参,Stir-Fried Sea Cucumber and Minced Pork in Chili Bean Paste
1164,宫保带子,Kung Pao Scallops
1165,XO酱鲜椒煎带子,Fried Scallops with XO Sauce
1166,清汤竹荪海参,Braised Bamboo Fungus and Sea Cucumbers
1167,桂鱼（干烧，清蒸，酸汤，椒盐）,"Mandarin Fish(Choices of : Dry-Braised with Chili Sauce, Steamed, Boiled in Sour-Soup, Fried with Spiced Salt)"
1168,草鱼（干烧，清蒸，水煮，酸菜）,"Grass Carp(Choices of : Dry-Braised with Chili Sauce, Steamed, in Hot Chili Oil, with Pickled Cabbage and Chili)"
1169,东坡银鳕鱼,Steamed Codfish with Preserved Vegetables
1170,宫保大虾肉,Kung Pao Prawn Meat
1171,鱼香大虾肉,Yu-Shiang Prawn Meat (Sautéed with Spicy Garlic Sauce)
1172,顶级6头鲍/王府极品鲍/王府一品鲍,Braised Supreme Abalone
1173,肉末辽参,Braised Sea Cucumber with Minced Pork
1174,鲍汁扒裙边,Braised Soft Turtle Rim with Abalone Sauce
1175,浓汤裙边,Turtle Rim in Thick Soup
1176,罐焖裙边,Braised Turtle Rim in Soup
1177,浓汤鱼唇,Braised Fish Snout in Thick Soup
1178,浓汤四宝,Seafood Soup
1179,青元烩鲜虾,Braised Prawns with Peas
1180,酸辣蜇头花,Hot and Sour Jellyfish
1181,辣炒墨鱼竹百叶,Sautéed Spicy Cuttlefish and Tofu Skin
1182,水煮明虾,Poached Prawns
1183,椒香鳝段,Sautéed Eel with Peppers
1184,锅巴海三鲜,Sizzling Assorted Seafood with Crispy Rice
1185,板栗烧鳝段,Braised Eel with Chestnuts
1186,碧绿椒麻鱼肚,Braised Fish Maws and Vegetables with Pepper and Chili
1187,上汤焗龙虾,Lobster Simmered in Chicken Soup
1188,蒜蓉蒸龙虾,Steamed Lobster with Minced Garlic
1189,椒盐蟹,Fried Crab with Spiced Salt
1190,咖喱蟹煲,Curry Crabs in Casserole
1191,菜远虾球,Sautéed Prawn with Green Vegetable
1192,点桃虾球,Walnut Shrimps
1193,油泡虾球,Crystal Prawns
1194,柠檬虾球,Lemon Prawns
1195,四川虾球,"Sautéed Prawn, Sichuan Style"
1196,豆瓣酱鲜鱿,Sautéed Squid with Soy Bean Paste
1197,韭王象拔蚌,Sautéed Geoduck Clam with Chive
1198,韭王花枝片,Sautéed Cuttlefish with Chive
1199,豉汁炒三鲜,Sautéed Assorted Seafood with Black Bean Sauce
1200,马拉盏炒鱿鱼,Sautéed Squid with Shrimp Paste
1201,双菇鲜带子,Sautéed Fresh Scallop with Mushrooms
1202,豉汁炒大蚬,Sautéed Clam with Black Bean Sauce
1203,葱姜生蚝,Sautéed Oyster with Ginger and Scallion
1204,豉汁炒青口,Sautéed Mussel with Black Bean Sauce
1205,豉汁豆腐蒸带子,Steamed Scallop and Tofu in Black Bean Sauce
1206,清蒸蒜蓉带子,Steamed Scallop with Minced Garlic
1207,豉汁煎焗塘虱,Pan-Fried Catfish with Black Bean Sauce
1208,蒸金钱片塘虱,Steamed Catfish
1209,辣汁串烧鱼,Fish Kebab with Chili Sauce
1210,西兰炒雪鱼球,Sautéed Codfish Balls with Broccoli
1211,菜远石斑球,Sautéed Sea Bass Balls with Green Vegetable
1212,油泡石斑球,Fried Sea Bass Balls
1213,川味石斑球,"Sea Bass Balls, Sichuan Style"
1214,咕噜石斑球,Sweet and Sour Sea Bass Balls
1215,鱼腐扒菜胆,Braised Fish Curd with Green Vegetable
1216,菜胆肘子炖海中宝,"Stewed Fish Maw, Sea Cucumber and Ham with Green Vegetable"
1217,冬草花炖海星,Stewed Starfish with Aweto
1218,洋葱煮鱼,Boiled Fish with Onion
1219,干炸多春鱼,Deep-Fried Shisamo
1220,榄仁炒鱼环,Sautéed Minced Dace with Olive Seeds
1221,京酱龙虾球,Lobster Balls in Sweet Bean Sauce
1222,酱油蟹,Fried Crabs with Soy Sauce
1223,醋溜蟹,Sautéed Crabs with Sour Sauce
1224,清汤蟹肉,Crab Meat Soup
1225,黑椒鳝球,Sautéed Eel Balls with Black Pepper
1226,香辣芙蓉鱼,Spicy Sliced Fish  with Egg White
1227,水煮鱼,Sliced Fish  in Hot Chili Oil
1228,香煎黄板刁,Pan-Fried Catfish
1229,锅仔鱼籽,Stewed Fish Roe
1230,清蒸武昌鱼,Steamed Wuchang Fish
1231,红烧带鱼,Braised Hairtail in Brown Sauce
1232,酸汤鱼,Fish in Sour Soup
1233,百花酿露笋,Steamed Asparagus with Minced Shrimps
1234,石钵XO酱水晶粉,Braised Glazed Starch Sheets with XO Sauce in Stone Pot
1235,翅汤青瓜虾球,Cucumber and Prawn in Shark’s Fin Soup
1236,XO酱爆北极裙,Quick-Fried Fringe Shell with XO Sauce
1237,蜜豆百合炒鱼菘,Sautéed Fish Floss with Sweetened Beans and Lily Bulbs
1238,石钵蟹黄豆腐,Stewed Crab Roe and Tofu in Stone Pot
1239,芥兰鲜鱿,Sautéed Squid with Chinese Broccoli
1240,花椒甲鱼,Turtle with Sichuan Pepper Corns
1241,泡椒甲鱼,Turtle with Pickled Peppers
1242,酸辣鲶鱼,Hot and Sour Catfish
1243,糊辣基围虾,Fried Shrimps with Hot Pepper
1244,铁板饼子焖鱼,Pancake with Braised Fish
1245,木瓜鱼翅,Shark’s Fin with Papaya
1246,蚝皇鲍鱼,Braised Abalone in Oyster Sauce
1247,鲍汁扒鲍贝,Braised Abalone in Abalone Sauce
1248,黑椒蚕豆炒双鲍,Sautéed Abalone with Black Pepper and Broad Beans
1249,西法大虾,Prawns Cooked in Western Style
1250,澳带烩鱼肚,Braised Fish Maw with Scallops
1251,韭香武昌鱼,Wuchang Fish with Chinese Chives
1252,腰果鲜虾仁,Sautéed Shelled Shrimp with Cashew Nuts
1253,烤鲶鱼,Roasted Fresh Catfish
1254,水煮鲜鱿,Fresh Squid in Hot Chili Oil
1255,酸辣鳝丝,Hot and Sour Shredded Eel
1256,野山珍鲈鱼,Perch with Mushrooms
1257,清蒸大闸蟹,Steamed Dazha Crabs
1258,白灼虾,Boiled Prawns
1259,醉蟹,Liquor-Soaked Crabs
1260,太白竹篓虾,Taibai Prawns in Bamboo Basket
1261,海参锅巴,Sautéed Sea Cucumber with Crispy Rice
1262,鸡茸鱼翅,Shark’s Fin with Minced Chicken
1263,松子黄鱼,Yellow-Fin Tuna with Pine Nuts
1264,红油鱼肚,Fish Maw in Chili Sauce
1265,黄酒脆皮虾仁,Crispy Shrimp with Rice Wine Sauce
1266,XO酱炒海茸百合,Sautéed Lily Bulbs and Seaweed in XO Sauce
1267,百合炒南瓜,Sautéed Pumpkin with Lily Bulbs
1268,板栗白菜,Poached Chinese Cabbage with Chestnuts
1269,白灼时蔬,Boiled Seasonal Vegetable
1270,炒芥兰,Sautéed Chinese Broccoli
1271,炒生菜,Sautéed Lettuce
1272,炒时蔬,Sautéed Seasonal Vegetable
1273,豉汁凉瓜皮,Sautéed Bitter Melon Peel in Black Bean Sauce
1274,葱香荷兰豆,Sautéed Snow Peas with Scallion
1275,翠豆玉米粒,Sautéed Green Peas and Sweet Corn
1276,冬菇扒菜心,Braised Green Vegetable with Black Mushrooms
1277,豆豉鲮鱼油麦菜,Sautéed Lettuce with Diced Fish in Black Bean Sauce
1278,干贝扒芦笋,Braised Asparagus with Scallops
1279,开水白菜,Chinese Cabbage in Soup
1280,干煸苦瓜,Sautéed Bitter Melon
1281,海茸墨鱼花,Sautéed Diced Cuttlefish and Seaweed
1282,蚝皇扒双蔬,Braised Seasonal Vegetables in Oyster Sauce
1283,蚝油扒时蔬,Braised Vegetable in Oyster Sauce
1284,蚝油生菜,Sautéed Lettuce in Oyster Sauce
1285,红烧毛芋头,Braised Taro in Brown Sauce
1286,红枣蒸南瓜,Steamed Pumpkin with Chinese Dates
1287,猴头蘑扒菜心,Braised Green Vegetable with Mushrooms
1288,虎皮尖椒,Pan-Seared Green Chili Pepper
1289,琥珀香芹炒藕粒,Sautéed Diced Lotus Root with Celery and Walnuts
1290,黄耳浸白玉条,Braised Winter Melon with Yellow Fungus
1291,黄金玉米,Sautéed Sweet Corn with Salted Egg Yolk
1292,火腿炒蚕豆,Sautéed Broad Beans with Ham
1293,鸡汤竹笙浸时蔬,Braised Bamboo Fungus and Vegetable in Chicken Soup
1294,姜汁炒时蔬,Sautéed Seasonal Vegetable in Ginger Sauce
1295,椒盐茄子丁,Deep-Fried Diced Eggplant with Spiced Salt
1296,煎酿鲜茄子,Fried Eggplant Stuffed with Pork and Shrimps
1297,辣椒炝时蔬,Sautéed Seasonal Vegetable with Chili Pepper
1298,栗子扒白菜,Braised Chinese Cabbage with Chestnuts
1299,萝卜干炒腊肉,Sautéed Preserved Pork with Pickled Turnip
1300,米汤豆苗,Pea Sprouts in Rice Soup
1301,木耳炒山药,Sautéed Chinese Yam with Black Fungus
1302,木瓜炖百合,Stewed Papaya with Lily Bulbs
1303,浓汤金华四宝蔬,Braised Four Kinds of Vegetables in Broth
1304,浓汤娃娃菜,Braised Baby Cabbage in Broth
1305,芹香木耳,Sautéed Black Fungus with Celery
1306,清炒/蒜茸各式时蔬,Sautéed Seasonal Vegetable with or without Garlic
1307,清炒/蒜茸西兰花,Sautéed Broccoli with or without Garlic
1308,清炒豆尖,Sautéed Bean Sprouts
1309,清煎西红柿,Pan-Fried Tomato
1310,肉末雪菜,Sautéed Preserved Vegetable with Minced Pork
1311,上汤鸡毛菜,Braised Green Vegetable in Broth
1312,上汤芥兰,Braised Chinese Broccoli in Broth
1313,上汤浸时蔬,Braised Seasonal Vegetable in Broth
1314,双耳炒四季,Sautéed Fungus and Assorted Vegetables
1315,松仁玉米,Sautéed Sweet Corn with Pine Nuts
1316,蒜茸炒时蔬,Sautéed Vegetable with Minced Garlic
1317,田园素小炒,Vegetarian’s Delight
1318,铁扒什锦,Grilled Assorted Vegetables
1319,西红柿炒蛋,Scrambled Eggs with Tomato
1320,西芹百合,Sautéed Lily Bulbs and Celery
1321,乡村大丰收,Assorted Vegetable Salad
1322,雪菜炒豆瓣,Sautéed Beans with Preserved Vegetable
1323,野山红炒木耳,Sautéed Black Fungus with Red Pepper
1324,银杏炒百合,Sautéed Lily Bulbs with Gingko Nuts
1325,油盐水浸时蔬,Braised Seasonal Vegetable
1326,鱼香茄子,Yu-Shiang Eggplant (Sautéed with Spicy Garlic Sauce)
1327,鱼香茄子煲,Yu-Shiang Eggplant in Casserole (Sautéed with Spicy Garlic Sauce)
